Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR
1,0.999419931389989,0.005366013573027133,0.004954600525708486,0.004006588900061771,26.7938275433617
2,1.0000000008027392,0.004056551096401297,1.5196978329367284e-07,1.4782889560589377e-07,27.35717581304058
3,1.0,0.0037922730593005333,4.733120835002417e-12,4.712686296871453e-12,11.802809679532517
4,1.0,0.003712571811196757,4.745396961372333e-12,4.719578894354126e-12,27.806488117176773
5,1.0,0.003624268267983368,4.794803800375191e-12,4.779334617729626e-12,27.789516492633787
6,1.0,0.003534425846174513,4.777948011688338e-12,4.758437783135964e-12,14.999504550555402
7,1.0,0.0035781115929658,4.805992323182907e-12,4.78909103613589e-12,22.479475071581874
8,1.0,0.0035731689237005326,4.955124039743011e-12,4.928605182158635e-12,28.211202997666494
9,1.0,0.003505959027360359,5.051078753721646e-12,5.02269747109902e-12,27.994730233299535
10,1.0,0.003435397157121005,5.329127580020498e-12,5.304809181260189e-12,26.709482927254907
11,1.0,0.0034195080171234267,5.455627341597395e-12,5.434500641707405e-12,19.168274595266013
12,1.0,0.0034546001156896423,5.295485954266247e-12,5.274558108685891e-12,28.483405390003213
13,1.0,0.0033929045493977226,5.416267173809676e-12,5.3927031869956045e-12,21.117569243628914
14,1.0,0.0033682084622791743,5.580997372403203e-12,5.560037605848165e-12,28.47915762103535
15,1.0,0.0033763189662230414,5.540717185931376e-12,5.52937140359919e-12,23.067813218112473
16,1.0,0.003367448378296614,5.77042282099281e-12,5.746953198657432e-12,20.651031665077873
17,1.0,0.003354002320698608,5.716194355357139e-12,5.693673342728434e-12,28.61242186102182
18,1.0,0.003343863497244968,5.876208374889899e-12,5.858943432418839e-12,22.495646746674932
19,1.0,0.003332829984230953,5.9243073005044355e-12,5.9083629916700834e-12,23.083322015485773
20,1.0,0.003334071847382308,5.9730244514385374e-12,5.9542856337631344e-12,20.81576267942149
21,1.0,0.0033361426607260835,6.032542677521312e-12,6.02085904052562e-12,28.230312210899644
22,1.0,0.0033246664121564834,6.149005519371397e-12,6.127592200827705e-12,28.660015800838934
23,1.0,0.0033216877228684225,6.152392709462119e-12,6.130149073088529e-12,22.94296789029562
24,1.0,0.0033164426991149055,6.391436990078858e-12,6.367696453987882e-12,28.259600943231455
25,1.0,0.0033077029699474527,6.513361167542096e-12,6.488790342003358e-12,28.388051787120062
26,1.0,0.0033065946807775233,6.518456666256021e-12,6.493415322828634e-12,26.825495228090563
27,1.0,0.003294414328461197,6.6870319624326926e-12,6.669053855459335e-12,28.666860267506408
28,1.0,0.0032940010024717433,6.836290894298803e-12,6.807690470292301e-12,26.740991041844275
29,1.0,0.0032885101193918876,6.929714751010947e-12,6.906340420467559e-12,23.665783814982497
30,1.0,0.003292364037031126,7.11760733439559e-12,7.092117253165962e-12,28.6299626266406
31,1.0,0.003285919342207901,7.127331550789835e-12,7.105393527522678e-12,27.72621063602135
32,1.0,0.003272974552557552,7.370957983655368e-12,7.344760426109684e-12,27.4765831681124
33,1.0,0.003281667411276564,7.520793164243137e-12,7.499761245450345e-12,28.515677384179693
34,1.0,0.0032796509698728594,7.530983518975305e-12,7.506607625353205e-12,25.573836797332202
35,1.0,0.003271123904328032,7.753608915330078e-12,7.734712186408821e-12,28.63269842421324
36,1.0,0.00326364079309962,7.804579231334925e-12,7.78451996182135e-12,23.83239191014208
37,1.0,0.003284678488693234,7.888199336194713e-12,7.865791449892822e-12,28.75729155910325
38,1.0,0.003264747560857182,8.182845571709753e-12,8.161990921106079e-12,28.748813303778633
39,1.0,0.0032560617722554356,8.152818000802602e-12,8.129310922293774e-12,27.632726242571103
40,1.0,0.003261406784666109,8.515682575729782e-12,8.492367095035101e-12,27.31484936884359
41,1.0,0.0032612442072701277,8.62903429064837e-12,8.600286319194712e-12,26.976597122800033
42,1.0,0.003276713899994488,8.76071359996122e-12,8.74063641966549e-12,28.71507481978877
43,1.0,0.0032599781255917286,8.754195574238627e-12,8.725963571067059e-12,28.65984871019318
44,1.0,0.003255245954767657,9.00994493520574e-12,8.98375486702595e-12,28.29406687234695
45,1.0,0.0032523549967726374,9.191419460131923e-12,9.166901395592973e-12,28.70487348600485
46,1.0,0.003250223444522911,9.477370856781724e-12,9.455660605560463e-12,28.641252512303844
47,1.0,0.0032434914539611654,9.564064403884006e-12,9.544346665300022e-12,28.701525139707602
48,1.0,0.0032390118723278224,9.742895751365951e-12,9.721867144868861e-12,28.523278482421777
49,1.0,0.0032421707048421416,9.896136593422843e-12,9.88035876277459e-12,28.805307447649504
50,1.0,0.0032384334139640186,1.0086460647096767e-11,1.0067266212298047e-11,28.6219807920211
51,1.0,0.0032389681203234886,1.052046883927302e-11,1.048785266511386e-11,28.680854900667914
52,1.0,0.0032400478723280937,1.0451789351086564e-11,1.0433676342555063e-11,28.356891784094085
53,1.0,0.0032418052650818306,1.0632945629766447e-11,1.0610472713834579e-11,28.71875988432346
54,1.0,0.003232387774955237,1.0647488423073632e-11,1.0623614265481677e-11,28.799763081462114
55,1.0,0.0032324850744750487,1.0824718986351563e-11,1.0793114144651139e-11,28.75024151681908
56,1.0,0.003230073068702353,1.1038229192722305e-11,1.1008220949053e-11,28.51377689530885
57,1.0,0.0032274601855419825,1.1431223347048789e-11,1.1408588180751194e-11,28.8052226382201
58,1.0,0.003264374175575385,1.1705998810024456e-11,1.1684903959200131e-11,28.69650940539283
59,1.0,0.003226660772038942,1.2039066228121626e-11,1.2008223612592438e-11,26.653476017037367
60,1.0,0.0032318344628251977,1.2075876346817915e-11,1.2048662739207338e-11,28.772345695185678
61,1.0,0.003226760377680111,1.2300442155292321e-11,1.2275414697136136e-11,27.75673767455538
62,1.0,0.0032257511471872353,1.2649143254598516e-11,1.2636164436317677e-11,28.77366037359922
63,1.0,0.003216252669468268,1.2750473854975277e-11,1.2727514276954115e-11,28.469774955096202
64,1.0,0.0032254232117542745,1.3132016357902271e-11,1.3113193448841534e-11,28.806130676166283
65,1.0,0.0032212209371842724,1.3370063261189402e-11,1.3330552272692247e-11,28.847128968570225
66,1.0,0.00323614248382027,1.3623567595260687e-11,1.3598088614284594e-11,28.839683601093608
67,1.0,0.003211289823818967,1.4000160403260714e-11,1.3958741920854858e-11,28.832553555462272
68,1.0,0.0032196102571430264,1.4436915818922424e-11,1.441746747862228e-11,28.855016373358097
69,1.0,0.003209615089554682,1.4549623936836527e-11,1.4515465843616814e-11,27.218292252040918
